ID,2007NA1,2007NA2,2007NA3,2007NA4,2007NA5,2007NAK,2008NA1,2008NA2,2008NA3,2008NA4,2008NA5,2008NAK,2009NA1,2009NA2,2009NA3,2009NA4,2009NA5,2009NAK,2010NA1,2010NA2,2010NA3,2010NA4,2010NA5,2010NAK,High,Medium,Low,E07NA1,E07NA2,E07NA3,E07NA4,E07NA5,E07NAK,E08NA1,E08NA2,E08NA3,E08NA4,E08NA5,E08NAK,E09NA1,E09NA2,E09NA3,E09NA4,E09NA5,E09NAK,E10NA1,E10NA2,E10NA3,E10NA4,E10NA5,E10NAK
88,1,1,1,1,0,2,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1,0,1,2,1,0,0,9.59,9.59,9.59,9.59,9.59,0.00,10.05,10.05,10.05,10.05,10.05,0.00,9.78,9.78,9.78,9.78,9.78,0.00,9.15,9.15,9.15,9.15,9.15,0.00
89,0,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,9.17,9.17,9.17,9.17,9.17,0.00,9.61,9.61,9.61,9.61,9.61,0.00,9.36,9.36,9.36,9.36,9.36,0.00,8.76,8.76,8.76,8.76,8.76,0.00
90,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,0,1,2,0,1,0,11.96,11.96,11.96,11.96,11.96,0.00,13.20,13.20,13.20,13.20,13.20,0.00,12.96,12.96,12.96,12.96,12.96,0.00,12.31,12.31,12.31,12.31,12.31,0.00
91,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,9.77,9.77,9.77,9.77,9.77,0.00,11.40,11.40,11.40,11.40,11.40,0.00,11.31,11.31,11.31,11.31,11.31,0.00,10.09,10.09,10.09,10.09,10.09,0.00
92,1,1,1,0,0,2,1,1,1,0,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,5.35,5.35,5.35,5.35,5.35,0.00,6.48,6.48,6.48,6.48,6.48,0.00,6.47,6.47,6.47,6.47,6.47,0.00,5.21,5.21,5.21,5.21,5.21,0.00
93,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.26,0.26,0.26,0.26,0.26,0.00,0.26,0.26,0.26,0.26,0.26,0.00,0.27,0.27,0.27,0.27,0.27,0.00,0.23,0.23,0.23,0.23,0.23,0.00
106,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,2,0,1,0,20.18,20.18,20.18,20.18,20.18,0.00,28.41,28.41,28.41,28.41,28.41,0.00,25.03,25.03,25.03,25.03,25.03,0.00,21.15,21.15,21.15,21.15,21.15,0.00
107,1,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,23.30,23.30,23.30,23.30,23.30,0.00,27.93,27.93,27.93,27.93,27.93,0.00,25.62,25.62,25.62,25.62,25.62,0.00,23.57,23.57,23.57,23.57,23.57,0.00
108,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,2,1,0,0,18.40,18.40,18.40,18.40,18.40,0.00,21.42,21.42,21.42,21.42,21.42,0.00,19.58,19.58,19.58,19.58,19.58,0.00,18.42,18.42,18.42,18.42,18.42,0.00
109,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,0,1,0,0,8.71,8.71,8.71,8.71,8.71,0.00,8.86,8.86,8.86,8.86,8.86,0.00,8.30,8.30,8.30,8.30,8.30,0.00,8.03,8.03,8.03,8.03,8.03,0.00
110,0,0,1,0,0,0,0,0,1,0,1,2,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,7.91,7.91,7.91,7.91,7.91,0.00,8.78,8.78,8.78,8.78,8.78,0.00,8.49,8.49,8.49,8.49,8.49,0.00,7.52,7.52,7.52,7.52,7.52,0.00
111,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,5.52,5.52,5.52,5.52,5.52,0.00,7.19,7.19,7.19,7.19,7.19,0.00,7.17,7.17,7.17,7.17,7.17,0.00,5.49,5.49,5.49,5.49,5.49,0.00
112,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,3.51,3.51,3.51,3.51,3.51,0.00,4.68,4.68,4.68,4.68,4.68,0.00,4.16,4.16,4.16,4.16,4.16,0.00,3.23,3.23,3.23,3.23,3.23,0.00
113,0,0,0,0,0,2,1,0,0,1,1,2,1,1,1,1,1,2,1,0,0,1,0,2,1,0,0,0.70,0.70,0.70,0.70,0.70,0.00,0.93,0.93,0.93,0.93,0.93,0.00,0.76,0.76,0.76,0.76,0.76,0.00,0.61,0.61,0.61,0.61,0.61,0.00
127,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,1,0,0,1,0,14.35,14.35,14.35,14.35,14.35,0.00,14.73,14.73,14.73,14.73,14.73,0.00,13.23,13.23,13.23,13.23,13.23,0.00,12.41,12.41,12.41,12.41,12.41,0.00
128,0,1,0,0,0,2,1,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,18.84,18.84,18.84,18.84,18.84,0.00,20.12,20.12,20.12,20.12,20.12,0.00,17.56,17.56,17.56,17.56,17.56,0.00,16.10,16.10,16.10,16.10,16.10,0.00
129,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,21.04,21.04,21.04,21.04,21.04,0.00,24.94,24.94,24.94,24.94,24.94,0.00,22.86,22.86,22.86,22.86,22.86,0.00,21.45,21.45,21.45,21.45,21.45,0.00
130,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,4.05,4.05,4.05,4.05,4.05,0.00,4.13,4.13,4.13,4.13,4.13,0.00,3.50,3.50,3.50,3.50,3.50,0.00,3.48,3.48,3.48,3.48,3.48,0.00
131,0,0,0,0,1,2,1,0,0,0,0,2,1,0,1,0,1,2,0,1,0,0,0,2,1,0,0,2.74,2.74,2.74,2.74,2.74,0.00,2.43,2.43,2.43,2.43,2.43,0.00,1.86,1.86,1.86,1.86,1.86,0.00,2.15,2.15,2.15,2.15,2.15,0.00
132,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,2.59,2.59,2.59,2.59,2.59,0.00,3.16,3.16,3.16,3.16,3.16,0.00,2.89,2.89,2.89,2.89,2.89,0.00,2.64,2.64,2.64,2.64,2.64,0.00
133,0,0,0,0,0,2,0,1,1,0,0,2,1,1,0,1,1,2,1,0,1,0,0,2,1,0,0,2.15,2.15,2.15,2.15,2.15,0.00,3.54,3.54,3.54,3.54,3.54,0.00,3.45,3.45,3.45,3.45,3.45,0.00,2.82,2.82,2.82,2.82,2.82,0.00
